,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness
,afd,cdu,fdp,gruene,linke,spd,afd,cdu,fdp,gruene,linke,spd
Soll Atomkraft weiterhin genutzt werden? ,0.8663599920662056,0.9099230588642134,0.0,0.9127145720386616,0.9099345186661995,0.8754439396573609,0.6,1.0,0.0,1.0,1.0,0.6666666666666666
Sollen Geflüchtete ausgewiesen werden wenn sie sich strafbar machen?,0.8739511340797684,0.0,0.8482299543280587,0.8048155373127304,0.8755278428421628,0.8048155373127304,1.0,0.0,0.75,0.6666666666666666,0.0,1.0
Sollen die Militärausgaben erhöht werden?,0.9080664187549963,0.8611407323408032,0.8468880383505267,0.9019561509750463,0.81194330820662,0.8325465270277004,0.75,0.75,1.0,0.0,1.0,1.0
Sollen wir in Europa mehr für den Natur- und Artenschutz tun?,0.8089103021095546,0.8088773398511578,0.8480953953411111,0.8089103021095546,0.8087729858903611,0.8089103021095546,0.7142857142857143,0.75,1.0,1.0,1.0,1.0
Sollte es ein Selbstbestimmungsrecht für Trans-Personen geben?,0.796946506738203,0.7691987378676531,0.805123048586049,0.8021632233231423,0.8691115211419947,0.802226285237258,0.75,,,0.0,1.0,0.75
Sollten mehr Länder der EU beitreten?,0.8217819272884782,0.8831386568673375,0.8561319118674297,0.868380639684307,0.8648209536768414,0.8628685319883491,,1.0,0.0,1.0,0.6,1.0
Was denken die Parteien darüber was für Rentnern in Europa getan werden sollte?,0.8643994237960775,0.8554610742842902,0.8419460320584946,0.8588026295570038,0.8588026295570038,0.8588026295570038,1.0,,,1.0,1.0,0.42857142857142855
Was wollen die Parteien tun um christliche Werte in Europa zu unterstützen?,0.8743550424847552,0.8743550424847552,0.8233189816094387,0.0,0.0,0.8460327255241111,0.2,0.0,,,,
Was wollen die Parteien tun um das Tierwohl in der Viehhaltung zu verbessern? ,0.9283768104568134,0.894001357278373,0.9132894614399262,0.8798646106501605,0.8663943640840669,0.9621492434299957,1.0,0.0,1.0,1.0,0.9,0.75
Wie kann Europa weniger dreckige Energie nutzen und mehr saubere Energie?,0.7910169263794593,0.7910435915810519,0.7910169263794593,0.7910169263794593,0.8454740208646605,0.8636284106501422,1.0,1.0,1.0,0.8,,1.0
Wie können wir Jungendarbeitslosigkeit reduzieren? ,0.0,0.8111136710107516,0.8111136710107516,0.8111136710107516,0.8111136710107516,0.8110423000202737,,1.0,1.0,1.0,1.0,1.0
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?,0.8442308531635611,0.8442308531635611,0.8442308531635611,0.8442308531635611,0.844197135250286,0.8442308531635611,0.8,0.5,1.0,1.0,1.0,0.14285714285714285
Wie sehen die Pläne zum Erreichen der Klimaneutralität aus?,0.8184259326840623,0.9024353012208675,0.8145251490202247,0.8144938715766163,0.9174252924251398,0.8145251490202247,0.0,1.0,0.625,1.0,1.0,1.0
Wie soll Europa Handel mit anderen Ländern treiben? (z.B. Handelsabkommen),0.8837197394752717,0.8252935886916831,0.8015900909617949,0.8015900909617949,0.8015900909617949,0.8015900909617949,1.0,1.0,1.0,1.0,1.0,0.8
Wie soll das Verhältnis zu China aussehen im Bezug auf Protektionismus?,0.9005667125830598,0.8809875554150915,0.8866440487242486,0.8117038726256259,0.8116885203678456,0.8387302940051896,1.0,0.0,1.0,1.0,0.6666666666666666,1.0
Wie soll die Landwirtschaft unterstützt werden? ,0.8276023094859767,0.9077760735893176,0.8886565387386144,0.8890417484838373,0.8995735764176138,0.8543268975204237,0.875,1.0,1.0,,1.0,1.0
Wie soll die Privatsspähre geschützt werden? ,0.8183993248877101,0.8126320284500056,0.8126320284500056,0.8126320284500056,0.8866041413030845,0.8126320284500056,1.0,1.0,1.0,0.7142857142857143,0.625,1.0
Wie sollen Flüchtlinge in Europa verteilt werden? ,0.8196513489745215,0.0,0.8529699680585675,0.8615255684615684,0.8196513489745215,0.8412848480482288,0.6,1.0,1.0,1.0,1.0,0.2857142857142857
Wie sollen Kameras und Technik dabei helfen Verbrechen zu stoppen ohne dass unsere Privatsphäre gestört wird?,0.7926282772580583,0.7924544126254672,0.79256246783366,0.7968844067856753,0.866119324373376,0.7924544126254672,,0.7777777777777778,0.8,1.0,1.0,1.0
Wie sollen europäische high-tech Innovationen gefördert werden?,0.7952456231741746,0.8205502971914528,0.7954624496385573,0.7954145637090165,0.7952969455986096,0.7954145637090165,1.0,1.0,1.0,1.0,1.0,1.0
Wie sollte die Zusammenarbeit mit den USA aussehen?,0.882636335994289,0.9123984783161848,0.8754834392987766,0.8661170269973669,0.8687908493925981,0.8109989112897596,0.5714285714285714,1.0,1.0,0.75,0.0,1.0
Wie sollten wir Fischfang betreiben damit das Meer und die Tiere geschützt werden?,0.8613633989457199,0.8092261739315939,0.8788236867371974,0.9122220775944574,0.8996968409681139,0.8785873208838012,0.7,0.0,1.0,1.0,1.0,1.0
Wie stehen die Parteien zur gleichgeschlechtlichen Ehe?,0.9637403999112061,0.0,0.0,0.855422772512051,0.8554677254248562,0.8554677254248562,0.0,,,1.0,1.0,1.0
Wie viel Einfluss soll Europa auf unser Leben in Deutschland haben?,0.8253202341862741,0.8157526829592611,0.8157526829592611,0.8157526829592611,0.8452222835505258,0.8157526829592611,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334
