,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness
,afd,cdu,fdp,gruene,linke,spd,afd,cdu,fdp,gruene,linke,spd
Soll Atomkraft weiterhin genutzt werden? ,0.9099230588642134,0.8923043833666467,0.0,0.8932996882113658,0.9117840676471789,0.9211070180032693,0.5,0.0,0.3333333333333333,1.0,1.0,0.8
Sollen Geflüchtete ausgewiesen werden wenn sie sich strafbar machen?,0.879593617492521,0.0,0.0,0.8048155373127304,0.8143996779843589,0.0,0.8,0.5714285714285714,0.75,1.0,0.8571428571428571,0.6666666666666666
Sollen die Militärausgaben erhöht werden?,0.8317379969987426,0.8276516714519948,0.0,0.0,0.8607176912600175,0.8528433412853667,0.75,0.8,0.8,0.8333333333333334,1.0,0.75
Sollen wir in Europa mehr für den Natur- und Artenschutz tun?,0.9048734509453308,0.877995181544233,0.8886879780188001,0.8959411232785985,0.8686557568494181,0.9114552958051009,0.5,0.16666666666666666,,0.6666666666666666,1.0,1.0
Sollte es ein Selbstbestimmungsrecht für Trans-Personen geben?,0.0,0.0,0.0,0.802226285237258,0.876191301287192,0.0,0.5,,,0.0,1.0,1.0
Sollten mehr Länder der EU beitreten?,0.8456305377204657,0.8294354851920184,0.8588939775360137,0.8830074681510981,0.8534313222332397,0.8637056353021796,0.0,0.0,1.0,,0.75,1.0
Was denken die Parteien darüber was für Rentnern in Europa getan werden sollte?,0.8715331062568362,0.0,0.0,0.8813850827835704,0.889713145273262,0.9158478327178706,0.4,0.4,,0.5,1.0,0.0
Was wollen die Parteien tun um christliche Werte in Europa zu unterstützen?,0.9108138545428156,0.8716460821382946,0.8623002131296703,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.6666666666666666
Was wollen die Parteien tun um das Tierwohl in der Viehhaltung zu verbessern? ,0.8924893127096357,0.9549913770397787,0.0,0.8983126571993765,0.9094447379177483,0.8663943640840669,,0.0,,1.0,0.7142857142857143,1.0
Wie kann Europa weniger dreckige Energie nutzen und mehr saubere Energie?,0.8214417811905163,0.7910169263794593,0.8560536174965844,0.7910169263794593,0.7910169263794593,0.830473534796423,0.5714285714285714,1.0,1.0,0.875,0.8333333333333334,1.0
Wie können wir Jungendarbeitslosigkeit reduzieren? ,0.8335144753519477,0.8502488624757863,0.9241350523177144,0.8948615929578919,0.8874571048938994,0.8534356951979148,0.0,0.0,0.0,0.8333333333333334,0.7142857142857143,1.0
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?,0.8729080730875474,0.9082973676038469,0.0,0.8765684472264909,0.9074242715828703,0.0,1.0,0.0,,0.625,1.0,0.25
Wie sehen die Pläne zum Erreichen der Klimaneutralität aus?,0.8807748495420821,0.9088911104801038,0.8632241667379912,0.9518665299278201,0.9008058197036592,0.8785756434201506,0.5,1.0,0.6,,1.0,1.0
Wie soll Europa Handel mit anderen Ländern treiben? (z.B. Handelsabkommen),0.8723734133437775,0.8814820137962606,0.8464109820036251,0.8811747616845272,0.7944545428213255,0.8862775564651387,0.7,1.0,1.0,1.0,1.0,0.375
Wie soll das Verhältnis zu China aussehen im Bezug auf Protektionismus?,0.91242621569562,0.8933205561042344,0.8878289245354499,0.0,0.884807888267788,0.8902825092248484,0.8333333333333334,1.0,1.0,1.0,0.2,1.0
Wie soll die Landwirtschaft unterstützt werden? ,0.8689744230736091,0.9077760735893176,0.896274269784976,0.8970740910466913,0.0,0.9052255707152391,1.0,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0
Wie soll die Privatsspähre geschützt werden? ,0.839427999460494,0.853472638329095,0.8943267194106039,0.8126320284500056,0.7965854636479534,0.0,0.6,0.625,1.0,,,
Wie sollen Flüchtlinge in Europa verteilt werden? ,0.9218130219843966,0.8863878531540342,0.928689790199206,0.8995396965918521,0.8767312931983606,0.8956239380735004,0.42857142857142855,0.8,0.4,1.0,1.0,0.4
Wie sollen Kameras und Technik dabei helfen Verbrechen zu stoppen ohne dass unsere Privatsphäre gestört wird?,0.8087926376255447,0.0,0.0,0.7828618501473213,0.8191430731600553,0.802014270687474,0.6666666666666666,0.0,0.25,,1.0,0.3333333333333333
Wie sollen europäische high-tech Innovationen gefördert werden?,0.0,0.9690395281721962,0.9388218533011606,0.9269150334393582,0.9488524705220955,0.9440097140580305,0.0,0.8,1.0,1.0,1.0,
Wie sollte die Zusammenarbeit mit den USA aussehen?,0.9136486642449805,0.9211176964759877,0.9007698815778585,0.0,0.9167353560006353,0.9106036476070147,0.8333333333333334,0.5714285714285714,0.5,0.9,0.2,1.0
Wie sollten wir Fischfang betreiben damit das Meer und die Tiere geschützt werden?,0.9195009273309286,0.8978599318154572,0.8873513565885042,0.9030816713726778,0.9180573589110713,0.8790286840432248,0.4,0.0,1.0,1.0,,1.0
Wie stehen die Parteien zur gleichgeschlechtlichen Ehe?,0.0,0.0,0.8554677254248562,0.8554677254248562,0.0,0.9023045117539285,,0.0,1.0,1.0,0.8,1.0
Wie viel Einfluss soll Europa auf unser Leben in Deutschland haben?,0.8461454503555782,0.0,0.8906840137855975,0.8680607182509975,0.8530579948460186,0.8671451848461169,0.6666666666666666,0.875,0.8571428571428571,1.0,0.8333333333333334,0.8
