,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness
,afd,cdu,fdp,gruene,linke,spd,afd,cdu,fdp,gruene,linke,spd
Soll Atomkraft weiterhin genutzt werden? ,0.909123006054838,0.9158925875933758,0.9036216961482341,0.9277368491430629,0.8885507834233968,0.9117227054963791,0.8,0.0,0.0,0.6666666666666666,,1.0
Sollen Geflüchtete ausgewiesen werden wenn sie sich strafbar machen?,0.901391911732316,0.0,0.0,0.901391911732316,0.8001067454759273,0.8001067454759273,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.625
Sollen die Militärausgaben erhöht werden?,0.900113116316699,0.816689156034053,0.8905246294084413,0.8953158739561454,0.8935915646988426,0.9145991266928751,0.8,0.5,0.5,0.0,0.0,1.0
Sollen wir in Europa mehr für den Natur- und Artenschutz tun?,0.8788888791220911,0.8830153422592296,0.9026608176466517,0.800714898789301,0.7857521584651285,0.8721520299618475,0.6666666666666666,0.0,1.0,1.0,1.0,1.0
Sollte es ein Selbstbestimmungsrecht für Trans-Personen geben?,0.0,0.0,0.9247801588013229,0.802226285237258,0.7988825215725001,0.0,,,0.0,0.0,1.0,
Sollten mehr Länder der EU beitreten?,0.0,0.8919254066553982,0.8884243377830531,0.863160543527577,0.8606559860935815,0.8552766228180487,0.0,1.0,0.7142857142857143,0.8,1.0,0.875
Was denken die Parteien darüber was für Rentnern in Europa getan werden sollte?,0.9126504836099603,0.0,0.0,0.9177293767281406,0.9133283929574635,0.941560554367884,1.0,1.0,1.0,1.0,1.0,0.7142857142857143
Was wollen die Parteien tun um christliche Werte in Europa zu unterstützen?,0.9046180703145391,0.9424294940711592,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,,1.0
Was wollen die Parteien tun um das Tierwohl in der Viehhaltung zu verbessern? ,0.9226986703952312,0.9429825113925641,0.9443390732624776,0.9444517525141412,0.9513065194932663,0.959597896576799,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Wie kann Europa weniger dreckige Energie nutzen und mehr saubere Energie?,0.8517159322135824,0.8860784546442431,0.9142975618693087,0.9161112221757272,0.9131931635607495,0.9130499154128872,1.0,0.75,1.0,1.0,1.0,1.0
Wie können wir Jungendarbeitslosigkeit reduzieren? ,0.899134843090159,0.939423304330667,0.914071425345238,0.946252144032702,0.0,0.939423304330667,0.0,0.75,0.6,1.0,,
Wie möchten die Parteien unsere Geschichte und Kulturen in Europa bewahren und zeigen?,0.9224462966392243,0.9450085133385896,0.8442308531635611,0.9307320177177602,0.9463134215514767,0.9352284803336811,1.0,0.0,0.8,1.0,1.0,1.0
Wie sehen die Pläne zum Erreichen der Klimaneutralität aus?,0.8760920826201014,0.9616121909983741,0.9616121909983741,0.9616121909983741,0.9606222021735243,0.9616121909983741,,1.0,1.0,1.0,1.0,0.42857142857142855
Wie soll Europa Handel mit anderen Ländern treiben? (z.B. Handelsabkommen),0.8751562005292649,0.9021128983936677,0.8802702621893643,0.873794720615621,0.8763277567795548,0.9019665124494137,0.4,1.0,1.0,1.0,0.75,0.6666666666666666
Wie soll das Verhältnis zu China aussehen im Bezug auf Protektionismus?,0.935767444900057,0.9367177834201552,0.9471412905981733,0.9440055906225018,0.9487367583359352,0.8965183300139613,1.0,0.2,1.0,1.0,0.0,0.875
Wie soll die Landwirtschaft unterstützt werden? ,0.9138151760178216,0.9105569845494683,0.9579270613773,0.9579384403978587,0.9579270613773,0.9579270613773,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
Wie soll die Privatsspähre geschützt werden? ,0.87730417475635,0.8792205945343173,0.87899760309042,0.8775504910901653,0.8827284189782582,0.8756619047539479,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
Wie sollen Flüchtlinge in Europa verteilt werden? ,0.9208962958864136,0.9225585618095029,0.8640676379363711,0.9261916479355553,0.9248294789611601,0.9196469172989737,0.8,1.0,0.4,0.8333333333333334,1.0,0.0
Wie sollen Kameras und Technik dabei helfen Verbrechen zu stoppen ohne dass unsere Privatsphäre gestört wird?,0.0,0.8115334321696714,0.0,0.8372659081276171,0.0,0.0,,0.8,1.0,1.0,0.75,0.6666666666666666
Wie sollen europäische high-tech Innovationen gefördert werden?,0.932323008470882,0.9347329624078679,0.9568188391601629,0.9309971091268586,0.940220255767431,0.9267031792458074,1.0,1.0,1.0,1.0,0.8,1.0
Wie sollte die Zusammenarbeit mit den USA aussehen?,0.9109039779272864,0.9113102106038924,0.920320891616317,0.9130254444098723,0.9076306642595225,0.9113102106038924,1.0,0.5,1.0,0.8571428571428571,0.4,0.8
Wie sollten wir Fischfang betreiben damit das Meer und die Tiere geschützt werden?,0.0,0.8922458523490918,0.8920062152204659,0.8911604280232456,0.9193940823938593,0.8821001146613039,,0.2,1.0,1.0,0.8571428571428571,0.8
Wie stehen die Parteien zur gleichgeschlechtlichen Ehe?,0.0,0.0,0.8554677254248562,0.8554677254248562,0.9432354678972628,0.9140719653321154,,,1.0,0.75,1.0,0.75
Wie viel Einfluss soll Europa auf unser Leben in Deutschland haben?,0.8796204643576888,0.9248770188361463,0.9135175046654874,0.9229322701166308,0.8990267344543946,0.9242358153510019,0.8,1.0,1.0,1.0,0.5,1.0
