id,fullName,country,politicalGroup,nationalPoliticalGroup
197475,Christine ANDERSON,Germany,Identity and Democracy Group,Alternative für Deutschland
197448,Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197433,Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
132191,Gunnar BECK,Germany,Identity and Democracy Group,Alternative für Deutschland
197408,Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197478,Lars Patrick BERG,Germany,European Conservatives and Reformists Group,Bündnis Deutschland
197410,Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197435,Gabriele BISCHOFF,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197449,Michael BLOSS,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197439,Damian BOESELAGER,Germany,Group of the Greens/European Free Alliance,Volt
226260,Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197431,Patrick BREYER,Germany,Group of the Greens/European Free Alliance,Piratenpartei Deutschland
128483,Markus BUCHHEIT,Germany,Identity and Democracy Group,Alternative für Deutschland
4267,Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197440,Delara BURKHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197434,Martin BUSCHMANN,Germany,Non-attached Members,Independent
96739,Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
28219,Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
86793,Anna CAVAZZINI,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197468,Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
197453,Anna DEPARNAY-GRUNENBERG,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197473,Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
99945,Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
237465,Matthias ECKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
28226,Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96852,Cornelia ERNST,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
197430,Engin EROGLU,Germany,Renew Europe Group,Freie Wähler
1917,Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
197480,Nicolaus FEST,Germany,Identity and Democracy Group,Alternative für Deutschland
193273,Romeo FRANZ,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
106936,Daniel FREUND,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
2341,Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
183916,Alexandra GEESE,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96833,Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
251874,Niels GEUKING,Germany,Group of the European People's Party (Christian Democrats),Familien-Partei Deutschlands
124807,Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197443,Andreas GLÜCK,Germany,Renew Europe Group,Freie Demokratische Partei
197444,Svenja HAHN,Germany,Renew Europe Group,Freie Demokratische Partei
197457,Henrike HAHN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96752,Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197412,Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197459,Pierrette HERZBERGER-FOFANA,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96780,Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
96772,Peter JAHR,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96837,Petra KAMMEREVERT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
251268,Michael KAUCH,Germany,Renew Europe Group,Freie Demokratische Partei
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197445,Moritz KÖRNER,Germany,Renew Europe Group,Freie Demokratische Partei
124822,Dietmar KÖSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197481,Maximilian KRAH,Germany,Identity and Democracy Group,Alternative für Deutschland
197482,Joachim KUHS,Germany,Identity and Democracy Group,Alternative für Deutschland
197460,Sergey LAGODINSKY,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
1909,Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197461,Katrin LANGENSIEPEN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
1927,Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197483,Sylvia LIMMER,Germany,Identity and Democracy Group,Alternative für Deutschland
124808,Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
228286,Karsten LUCKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
124806,David McALLISTER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197462,Erik MARQUARDT,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
190518,Jörg MEUTHEN,Germany,Non-attached Members,Independent
120478,Martina MICHELS,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
