Deutsch;English
Wie positionieren sich die verschiedenen Parteien zum Thema Erhöhung der Verteidigungsausgaben im Kontext gemeinsamer europäischer Sicherheitsinteressen?;How do the various parties position themselves on the issue of increasing defence spending in the context of common European security interests?
Welche Standpunkte vertreten die Parteien bezüglich der Unterstützung von Transgender-Personen, insbesondere im Hinblick auf Gleichberechtigung und Schutz vor Diskriminierung?;What are the parties' positions on support for transgender people, particularly with regard to equality and protection from discrimination?
Inwiefern befürworten oder lehnen die Parteien eine verstärkte gemeinsame Klimaschutzpolitik auf europäischer Ebene ab?;To what extent do the parties favour or oppose an enhanced common climate change policy at European level?
Welche politischen Maßnahmen schlagen die Parteien vor, um eine nachhaltigere Landwirtschaft innerhalb der EU zu fördern, die sowohl ökologisch als auch ökonomisch tragfähig ist?;What political measures do the parties propose to promote a more sustainable agriculture within the EU that is both ecologically and economically viable?
Wie stehen die Parteien zu einer Reform der EU-Außenhandelspolitik, insbesondere im Hinblick auf Nachhaltigkeit und Fair Trade?;What are the parties' views on reforming the EU's foreign trade policy, particularly with regard to sustainability and fair trade?
Welche Ansätze verfolgen die Parteien, um Kriminalität und Terrorismus innerhalb der EU zu bekämpfen, ohne dabei die Bürgerrechte zu untergraben?;What approaches are the parties pursuing to combat crime and terrorism within the EU without undermining civil rights?
Wie positionieren sich die verschiedenen Parteien zur Migrationspolitik, speziell zur Frage der Verteilung von Asylsuchenden und Flüchtlingen innerhalb der EU?;What is the position of the various parties on migration policy, especially on the issue of the distribution of asylum seekers and refugees within the EU?
Welche Ansichten vertreten die Parteien zur Legalisierung der gleichgeschlechtlichen Ehe in allen EU-Mitgliedstaaten?;What are the parties' views on the legalisation of same-sex marriage in all EU member states?
Wie bewerten die Parteien die aktuellen EU-Richtlinien zur Fischereipolitik im Hinblick auf Nachhaltigkeit und Schutz der Meeresumwelt?;How do the parties view the current EU directives on fisheries policy with regard to sustainability and protection of the marine environment?
Welche Maßnahmen befürworten die Parteien, um das Tierwohl in landwirtschaftlichen Betrieben und bei der Lebensmittelproduktion innerhalb der EU zu verbessern?;What measures are the parties in favour of to improve animal welfare on farms and in food production within the EU?
Welche Strategien verfolgen die Parteien, um die europäische Verteidigungsunion zu stärken und gleichzeitig die NATO-Beziehungen zu wahren?;What strategies are the parties pursuing to strengthen the European Defence Union while maintaining NATO relations?
Welche Vorschläge machen die deutschen Parteien zur Bekämpfung der Jugendarbeitslosigkeit in der EU?;What proposals are the German parties making to combat youth unemployment in the EU?
Welche spezifischen Vorschläge machen die Parteien, um den Übergang zu erneuerbaren Energien auf europäischer Ebene zu beschleunigen?;What specific proposals are the parties making to accelerate the transition to renewable energies at European level?
Welche Politiken schlagen die Parteien vor, um kleine und mittlere landwirtschaftliche Betriebe zu unterstützen und gleichzeitig ökologische Standards zu erhöhen?;What policies do the parties propose to support small and medium-sized farms and at the same time raise ecological standards?
Wie stehen die Parteien zu einer Vertiefung der wirtschaftlichen Beziehungen mit China, unter Berücksichtigung von Menschenrechts- und Sicherheitsbedenken?;What are the parties' views on deepening economic relations with China, taking into account human rights and security concerns?
Wie bewerten die Parteien den Einsatz von Überwachungstechnologien zur Kriminalitätsbekämpfung im Hinblick auf Datenschutz und Bürgerfreiheiten?;How do the parties view the use of surveillance technologies to fight crime in terms of data protection and civil liberties?
Wie stellen sich die deutschen Parteien im EU-Parlament zur Frage der Erweiterung der EU, speziell in Bezug auf den Westbalkan und die Türkei?;What is the position of the German parties in the EU Parliament on the issue of EU enlargement, especially with regard to the Western Balkans and Turkey?
Welche Ansätze verfolgen die deutschen EU-Parteien, um die europäische Wirtschaftspolitik zu gestalten, vor allem im Kontext der Digitalökonomie und Künstlicher Intelligenz?;What approaches are the German EU parties pursuing to shape European economic policy, especially in the context of the digital economy and artificial intelligence?
Welche Standpunkte haben die Parteien zur Zukunft der gemeinsamen Fischereipolitik, insbesondere in Bezug auf Überfischung und den Schutz mariner Ökosysteme?;What are the parties' positions on the future of the common fisheries policy, in particular with regard to overfishing and the protection of marine ecosystems?
Wie wollen die Parteien die Einhaltung und Verbesserung von Tierwohlstandards in der Tierzucht und während des Transports innerhalb der EU sicherstellen?;How do the parties intend to ensure compliance with and improvement of animal welfare standards in livestock farming and during transport within the EU?
