de;en
Sollen die Militärausgaben erhöht werden?;Should military spending be increased?
Sollte es ein Selbstbestimmungsrecht für Trans-Personen geben?;Should there be a right to self-determination for trans people?
Sollen wir mehr für den Natur- und Artenschutz tun?;Should we do more to protect nature and species?
Wie soll die Landwirtschaft unterstützt werden?;How should agriculture be supported? 
Wie sollen wir Handel mit anderen Ländern treiben (z.B. Handelsabkommen)?;How should we trade with other countries (e.g., trade agreements)?
Wie sollen Flüchtlinge verteilt werden?;How should refugees be distributed?
Wie stehen die Parteien zur gleichgeschlechtlichen Ehe?;What are the parties' views on same-sex marriage?
Wie sollten wir Fischfang betreiben, damit das Meer und die Tiere geschützt werden?;How should we fish to protect the sea and animals?
Was wollen die Parteien tun, um das Tierwohl in der Viehhaltung zu verbessern?;What do the parties want to do to improve animal welfare in livestock farming? 
Wie sollte die Zusammenarbeit mit den USA aussehen?;What should cooperation with the USA look like?
Wie können wir Jugendarbeitslosigkeit reduzieren?;How can we reduce youth unemployment? 
Wie sehen die Pläne zum Erreichen der Klimaneutralität aus?;What are the plans for achieving climate neutrality?
Wie soll das Verhältnis zu China aussehen in Bezug auf Protektionismus?;What should the relationship with China look like in terms of protectionism?
Wie sollen Kameras und Technik dabei helfen Verbrechen zu stoppen?;How should cameras and technology help stop crime?
Wie sollen High-Tech-Innovationen gefördert werden?;How should high-tech innovations be promoted?
Wie können wir weniger dreckige Energie nutzen und mehr saubere Energie?;How can we use less dirty energy and more clean energy?
Wie möchten die Parteien unsere Geschichte und Kulturen bewahren und zeigen?;How do the parties want to preserve and showcase our history and culture?
Sollen Geflüchtete ausgewiesen werden, wenn sie sich strafbar machen?;Should refugees be deported if they commit crimes?
Was wollen die Parteien tun, um christliche Werte zu unterstützen?;What do the parties want to do to support Christian values?
Sollten wir Atomkraft nutzen?;Should we use nuclear power? 
Wie soll die Privatsphäre geschützt werden?;How should privacy be protected? 
Was wollen die Parteien für Rentner tun?;What do parties want to do for pensioners?
Militärausgaben; Military spending
Christliche Werte; Christian values
Tradition; Tradition
Kriminalität; Crime
Soziale Ausgaben; Social spending
Lobbyismus; Lobbying
Klimawandel; Climate change
Binnenmarkt; Single market
Migrationspolitik; Migration policy
Datenschutz; Data protection
Subsidiaritätsprinzip; Principle of subsidiarity
Gemeinsame Agrarpolitik; Common Agricultural Policy
Freihandelsabkommen; Free trade agreement
Digitale Agenda; Digital agenda
Wettbewerbspolitik; Competition policy
